Lietas ID (caseID),Tiesas ID (courtID),Tiesa,Dzimšanas datums,Ienākšanas kārtība,Ienākšanas datums,Izskatīšanas datums,Būtība,Prasījuma apmērs,atb_fiz,atb_jur,pras_fiz,pras_jur,Nozīmētās sēdes,Notikušās sēdes,naudaS_sods,dzivo_arzemes,atbr_no_nodevas
2071126,27,Liepājas tiesa,030463,Pirmo reizi,9/15/2017,11/22/2017,parāda piedziņa,6469.03,1,0,0,1,2,1,0,0,0
2071131,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,130279,Pirmo reizi,9/15/2017,11/30/2017,parāda piedziņa,4537.68,1,0,0,1,1,0,0,0,0
2071147,29,Rīgas rajona tiesa,300962,Pirmo reizi,9/15/2017,11/9/2017,parāda piedziņa,6672.48,1,0,0,1,0,0,0,0,0
2071227,22,Daugavpils tiesa,240961,Pirmo reizi,9/15/2017,11/7/2017,maza apmēra prasībā par naudas piedziņu,2100.00,1,0,0,1,0,0,0,0,0
2071329,29,Rīgas rajona tiesa,101277,Pirmo reizi,9/15/2017,11/9/2017,maza apmēra prasība par naudas piedziņu,495.74,1,0,1,0,0,0,0,0,0
2071422,273,Rīgas rajona tiesa Jūrmalas tiesu nams,160383,Pirmo reizi,9/15/2017,11/15/2017,maza apmēra prasība par naudas piedziņu,871.35,1,0,0,1,0,0,0,0,0
2071514,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,130374,Pirmo reizi,9/18/2017,11/22/2017,par parāda piedziņu,6598.10,1,0,0,1,1,0,0,0,0
2071568,29,Rīgas rajona tiesa,180181,Pirmo reizi,9/18/2017,11/9/2017,parāda piedziņa,9653.60,1,0,1,0,0,0,0,0,0
2071578,1,Aizkraukles rajona tiesa,270679,Pirmo reizi,9/18/2017,11/23/2017,maza apmēra prasība par naudas piedziņu,1185.95,1,0,1,0,0,0,0,0,0
2071598,27,Liepājas tiesa,030463,Pirmo reizi,9/18/2017,12/6/2017,parāda piedziņa,583.00,1,0,0,1,0,0,0,0,0
2071604,31,Ventspils tiesa,050174,Pirmo reizi,9/18/2017,11/6/2017,maza apmēra prasība par naudas piedziņu,543.10,1,0,0,1,0,0,0,0,0
2071620,29,Rīgas rajona tiesa,250778,Pirmo reizi,9/18/2017,11/21/2017,maza apmēra prasība par naudas piedziņu,511.90,1,0,0,1,0,0,0,0,0
